Bin information for iteration 66
1064 segments
277 bins total, 0 targets, 133 (48.014%) occupied
Minimum probability by bin:     4.32982621986613508e-35
Maximum probability by bin:     8.29394576099521386e-01
Dynamic range (by bin):         78.9379 kT
Minimum probability by segment: 5.41228277483266818e-36
Maximum probability by segment: 1.14571839145972576e-01
Dynamic range (by segment):     79.0378 kT
Norm = 1, error in norm = -1.11022e-16 (0 epsilon)

 Index     Count    Total weight               Min seg weight             Max seg weight             Weight ratio    Label
    70         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.1, 3.2), (0.0, 2.0)]
    71         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.1, 3.2), (2.0, 4.0)]
    72         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.1, 3.2), (4.0, 6.0)]
    73         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.1, 3.2), (6.0, 8.0)]
    74         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.1, 3.2), (8.0, 10)]
    75         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.2, 3.3), (0.0, 2.0)]
    76         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.2, 3.3), (2.0, 4.0)]
    77         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.2, 3.3), (4.0, 6.0)]
    78         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.2, 3.3), (6.0, 8.0)]
    79         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.2, 3.3), (8.0, 10)]
    80         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.3, 3.4000000000000004), (0.0, 2.0)]
    81         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.3, 3.4000000000000004), (2.0, 4.0)]
    82         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.3, 3.4000000000000004), (4.0, 6.0)]
    83         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.3, 3.4000000000000004), (6.0, 8.0)]
    84         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.3, 3.4000000000000004), (8.0, 10)]
    85         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.4, 3.5), (0.0, 2.0)]
    86         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.4, 3.5), (2.0, 4.0)]
    87         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.4, 3.5), (4.0, 6.0)]
    88         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.4, 3.5), (6.0, 8.0)]
    89         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.4, 3.5), (8.0, 10)]
    90         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.5, 3.6), (0.0, 2.0)]
    91         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(3.5, 3.6), (2.0, 4.0)]
