Bin information for iteration 251
960 segments
206 bins total, 0 targets, 120 (58.252%) occupied
Minimum probability by bin:     5.01359613556285710e-72
Maximum probability by bin:     1.00000000000000000e+00
Dynamic range (by bin):         164.174 kT
Minimum probability by segment: 6.26699516945357012e-73
Maximum probability by segment: 1.77269362199033942e-01
Dynamic range (by segment):     164.523 kT
Norm = 1, error in norm = -1.11022e-16 (0 epsilon)

 Index     Count    Total weight               Min seg weight             Max seg weight             Weight ratio    Label
   162         8    2.45802844921421921e-49    2.84198651409712890e-50    4.68637889346229408e-50         1.64898    [(2.69, 2.7)]
   163         8    3.97275732845402648e-49    4.67744344666413314e-50    6.98546915789133760e-50         1.49344    [(2.7, 2.71)]
   164         8    1.60214400830439924e-50    1.92360691846680812e-51    2.17470871494377954e-51         1.13054    [(2.71, 2.72)]
   165         8    5.20944490561324822e-49    5.34564965333043801e-50    1.06912993066608760e-49         2.00000    [(2.72, 2.73)]
   166         8    4.22695871174091441e-49    4.55350423302640164e-50    9.10700846605280328e-50         2.00000    [(2.73, 2.74)]
   167         8    3.80668264518897229e-49    4.67744344666413314e-50    5.32472232524079855e-50         1.13838    [(2.74, 2.75)]
   168         8    1.02133812709299171e-48    4.52719639754102693e-50    1.87097737866565326e-49         4.13275    [(2.75, 2.76)]
   169         8    1.06973068048652602e-48    9.35488689332826628e-50    1.87097737866565326e-49         2.00000    [(2.76, 2.77)]
   170         8    8.83465227938946468e-49    1.42157030419666359e-50    1.87097737866565326e-49        13.16134    [(2.77, 2.7800000000000002)]
   171         8    3.81906399570006087e-49    4.67744344666413314e-50    5.44853583035168054e-50         1.16485    [(2.78, 2.79)]
   172         8    2.29530725578324907e-49    2.67282482666521900e-50    4.24329877117595525e-50         1.58757    [(2.79, 2.8)]
   173         8    4.28972114410164337e-50    3.80574025115161420e-51    7.41567213719107201e-51         1.94855    [(2.8, 2.81)]
   174         8    6.92101709416928858e-49    6.23659126221884387e-50    1.24731825244376877e-49         2.00000    [(2.81, 2.82)]
   175         8    1.23035586217982517e-48    1.03836089289406440e-49    2.27675211651320101e-49         2.19264    [(2.82, 2.83)]
   176         8    2.33348775157837136e-49    2.67282482666521900e-50    4.62510372912717911e-50         1.73042    [(2.83, 2.84)]
   177         8    5.53407005524547646e-48    6.03659481479819325e-49    1.04812990836276432e-48         1.73629    [(2.84, 2.85)]
   178         8    6.07864259948779924e-49    6.23659126221884387e-50    1.24731825244376877e-49         2.00000    [(2.85, 2.86)]
   179         8    1.05121726131758817e-48    2.91718470889744245e-50    1.87097737866565326e-49         6.41364    [(2.86, 2.87)]
   180         8    1.03768800073614439e-47    1.19786275241458781e-48    1.61750863032977000e-48         1.35033    [(2.87, 2.88)]
   181         8    5.96150989242292509e-48    6.98753272241842826e-49    1.04812990836276432e-48         1.50000    [(2.88, 2.89)]
   182         8    8.91873727078542615e-48    1.04812990836276432e-48    1.57219486254414640e-48         1.50000    [(2.89, 2.9)]
   183         8    2.01018776019396581e-47    1.84326046709902797e-48    3.41854580404332325e-48         1.85462    [(2.9, 2.91)]
   184         8    2.69168822918294566e-47    1.76176449112310881e-48    4.19251963345105726e-48         2.37973    [(2.91, 2.92)]
   185         8    2.09197724042128306e-47    2.05214175348207022e-48    3.73008803123100995e-48         1.81766    [(2.92, 2.93)]
   186         8    6.59467579075653152e-47    6.06053788924462797e-48    1.25775589003531712e-47         2.07532    [(2.93, 2.94)]
   187         8    4.63046665478317562e-47    4.40422798472324642e-48    8.36028149550004502e-48         1.89824    [(2.94, 2.95)]
   188         8    4.86691931742074520e-47    3.21358010040690860e-48    1.00620471202825369e-47         3.13110    [(2.95, 2.96)]
   189         8    3.54008264495399174e-47    3.14438972508829279e-48    7.57126689136211692e-48         2.40787    [(2.96, 2.97)]
   190         8    2.41748289952435221e-47    2.24221848733166612e-48    4.83855872613494786e-48         2.15793    [(2.97, 2.98)]
   191         8    5.58016196462193952e-47    5.52978140129708362e-48    1.00236497637921638e-47         1.81267    [(2.98, 2.99)]
   192         8    3.41134813149879595e-47    3.19910016067499636e-48    6.34348988576328854e-48         1.98290    [(2.99, 3.0)]
   193         8    7.17140267918100347e-44    6.84450916569972295e-45    1.34273688898836140e-44         1.96177    [(3.0, 3.1)]
   194         8    2.05003591652432499e-43    2.07545949304121259e-44    3.86098837333969247e-44         1.86031    [(3.1, 3.2)]
   195         8    9.19296560088539923e-43    9.58302654545263284e-44    1.39756210012821162e-43         1.45837    [(3.2, 3.3)]
   196         8    1.21548760567900646e-42    1.02978037560181227e-43    2.90657574256027102e-43         2.82252    [(3.3, 3.4)]
   197         8    1.92308796176434264e-42    9.84796688437027031e-44    3.91052987098985872e-43         3.97090    [(3.4, 3.5)]
   198         8    4.49292272340472449e-42    3.52115943680730911e-43    8.59489439265303220e-43         2.44093    [(3.5, 3.6)]
   199         8    2.86359040813745496e-42    1.93756109776342782e-43    5.42671419428937040e-43         2.80080    [(3.6, 3.7)]
   200         8    4.76579216113368853e-42    4.75437747609937752e-43    8.30000483722023629e-43         1.74576    [(3.7, 3.8)]
   201         8    3.95335206794392202e-42    2.42937834440338629e-43    9.25314510644670423e-43         3.80885    [(3.8, 3.9)]
   202         8    1.68728010326888437e-42    1.80081154678532079e-43    3.40613605022601609e-43         1.89145    [(3.9, 4)]
   203         8    1.88665963065382290e-25    2.35832453831727920e-26    2.35832453831727949e-26         1.00000    [(4.0, 4.5)]
   204         8    1.83064038584704814e-23    5.65997889196146917e-25    3.63019850783050513e-24         6.41380    [(4.5, 5)]
   205         8    1.00000000000000000e+00    1.07664256161529276e-01    1.77269362199033942e-01         1.64650    [(5.0, inf)]
